model_name,pca,optuna,f1_score,model_path
logreg,False,True,0.18493150684931506,../models/logreg_no_pca_with_optuna.pkl
rf,False,True,0.0425531914893617,../models/rf_no_pca_with_optuna.pkl
gb,False,True,0.0,../models/gb_no_pca_with_optuna.pkl
svm,False,True,0.04081632653061224,../models/svm_no_pca_with_optuna.pkl
logreg,True,True,0.18315018315018314,../models/logreg_with_pca_with_optuna.pkl
rf,True,True,0.0,../models/rf_with_pca_with_optuna.pkl
gb,True,True,0.0,../models/gb_with_pca_with_optuna.pkl
svm,True,True,0.08333333333333333,../models/svm_with_pca_with_optuna.pkl
